Year,Month,period_label,med_housing_price,housing_sales_vol,pipeline_unit,pipeline_const_jobs,new_housing_const_permits,emb_x_att2,emb_y_att2
2013,1,2013-01,380000,405,329,228,534,-0.3598680525427247,-1.2570392891488846
2013,2,2013-02,359500,332,557,809,196,0.03001640821337411,-2.553348779948978
2013,3,2013-03,400000,479,127,128,12,-1.291598028814293,-2.0207292354824915
2013,4,2013-04,403000,558,325,254,91,-0.8484116645741367,-1.6816076020361517
2013,5,2013-05,425500,809,122,402,63,-1.1912066089841415,-1.0119172673580923
2013,6,2013-06,445000,864,482,405,352,-0.3007138395929436,0.15100053836859653
2013,7,2013-07,429000,909,1376,1029,462,1.587322779069479,0.1495119105421297
2013,8,2013-08,435000,989,134,203,20,-1.4319927583921368,-0.740141865869765
2013,9,2013-09,438000,677,833,1112,357,0.826368552024691,-0.14552472355517326
2013,10,2013-10,465000,619,542,2835,42,1.2879630626531708,-0.31944496446496684
2013,11,2013-11,450000,570,1123,3976,712,3.672504141275502,0.9755467119206935
2013,12,2013-12,429000,591,973,2405,209,1.789315213093379,-0.7243329726391184
2014,1,2014-01,475000,440,1622,2826,250,3.3378362377318282,0.20784714554197517
2014,2,2014-02,459400,384,742,702,403,0.6732049537620871,0.10065564078367648
2014,3,2014-03,474389,478,0,1079,70,-0.6181260858848604,-0.2719392098148379
2014,4,2014-04,470000,459,581,859,399,0.5012254531089974,0.39804743273852417
2014,5,2014-05,465000,1092,895,1046,469,0.8234712039587668,1.1138035496425405
2014,6,2014-06,480000,2342,239,282,339,-1.5470677593131203,2.3595416699980185
2014,7,2014-07,450000,2508,48,151,588,-1.8412564933001037,2.4902108144583552
2014,8,2014-08,456000,1612,32,89,56,-1.9401653829019558,0.4198013867263034
2014,9,2014-09,462000,603,354,366,353,-0.3392539274296211,0.24454582476653056
2014,10,2014-10,450000,1651,195,636,273,-1.1226639987496534,0.8786961719994264
2014,11,2014-11,460500,420,298,324,629,-0.06457906501430462,0.6893304317771071
2014,12,2014-12,478000,524,178,309,87,-0.8533720632396584,-0.1411778062254163
2015,1,2015-01,475000,369,34,125,734,-0.4429181828506216,1.1879918571253028
2015,2,2015-02,465000,333,660,455,144,0.14733676726490166,-0.467342277431304
2015,3,2015-03,465000,448,139,489,309,-0.5476887864686883,0.04950206529361534
2015,4,2015-04,480000,512,451,1014,87,0.06431792589678732,-0.08148715770761533
