Year,Month,periodLabel,unemp_rate,labor_force_part_rate,total_jobs,embX,embY
2013,1,2013-01,0.066,0.631,322957,-2.7291016856262735,0.637049802974591
2013,2,2013-02,0.06,0.629,324295,-2.5063382908301555,0.20099460845574374
2013,3,2013-03,0.058,0.631,325597,-2.2982113515668914,0.1956634388923449
2013,4,2013-04,0.058,0.632,326101,-2.2424692114751377,0.24804341567359917
2013,5,2013-05,0.063,0.633,325160,-2.449827561566145,0.5761467800652638
2013,6,2013-06,0.07,0.645,329151,-2.1502918493187657,1.590742976085105
2013,7,2013-07,0.068,0.645,329650,-2.047443221634656,1.4805087630182023
2013,8,2013-08,0.063,0.643,330525,-1.8825674299343975,1.0997196979713533
2013,9,2013-09,0.063,0.635,326334,-2.3333179604639933,0.6807908656755526
2013,10,2013-10,0.058,0.637,328683,-1.9618815839262755,0.5099000235977169
2013,11,2013-11,0.055,0.641,331900,-1.5709415415771513,0.5537527662526243
2013,12,2013-12,0.053,0.637,330927,-1.674592952695336,0.23361893421728408
2014,1,2014-01,0.058,0.627,329581,-2.3395418064406903,-0.018044466505681256
2014,2,2014-02,0.054,0.628,331686,-2.0598477813786493,-0.1865538096846701
2014,3,2014-03,0.052,0.631,334019,-1.7800248217578103,-0.13987284831512764
2014,4,2014-04,0.049,0.629,333925,-1.7322259760052974,-0.4100996404303543
2014,5,2014-05,0.053,0.631,333710,-1.8332503801460065,-0.08471421079880226
2014,6,2014-06,0.058,0.644,338655,-1.3766072779842922,0.872061950921287
2014,7,2014-07,0.059,0.647,339755,-1.2657245369081955,1.0844324127517286
2014,8,2014-08,0.055,0.646,340804,-1.0989678968736063,0.8111966199964153
2014,9,2014-09,0.054,0.637,336259,-1.557048418902329,0.28484015535726953
2014,10,2014-10,0.048,0.642,341224,-0.9410930147233054,0.215375696335698
2014,11,2014-11,0.047,0.644,342700,-0.7715697663560328,0.2648660304276466
2014,12,2014-12,0.044,0.64,341626,-0.8344075562947244,-0.11014025924202997
2015,1,2015-01,0.05,0.632,341410,-1.4280500176668394,-0.20218590676210527
2015,2,2015-02,0.046,0.633,343127,-1.1601019234266925,-0.3704244260527729
2015,3,2015-03,0.043,0.633,344283,-0.99349272723578,-0.5360601805358359
2015,4,2015-04,0.041,0.633,345110,-0.8807145497847078,-0.6465233375083296
2015,5,2015-05,0.046,0.634,344024,-1.0924624874251339,-0.3183187631584005
2015,6,2015-06,0.05,0.644,347691,-0.7520907234691482,0.4262111806800126
2015,7,2015-07,0.049,0.645,348817,-0.6336475704859695,0.42321404603503293
2015,8,2015-08,0.044,0.643,349467,-0.47558320774170665,0.04258203092342179
2015,9,2015-09,0.044,0.634,344477,-0.991006418549805,-0.4285208682385437
2015,10,2015-10,0.04,0.639,348670,-0.4861641758548327,-0.38756056027179053
2015,11,2015-11,0.039,0.642,350459,-0.26668093375400753,-0.2855569314535634
2015,12,2015-12,0.037,0.639,350010,-0.3139847444287949,-0.5533247467018925
2016,1,2016-01,0.041,0.632,347435,-0.8508143231364109,-0.7008779554753074
2016,2,2016-02,0.038,0.633,349549,-0.6147190368714253,-0.8144506250464401
2016,3,2016-03,0.037,0.633,350579,-0.5396666328064614,-0.8701125203552388
2016,4,2016-04,0.034,0.633,351084,-0.39276517106156283,-1.03529387702568
2016,5,2016-05,0.035,0.634,350487,-0.41422481928310967,-0.927202446956063
2016,6,2016-06,0.04,0.644,354048,-0.12093319114613273,-0.1276555595428948
2016,7,2016-07,0.038,0.645,355265,0.04413600239232185,-0.18565916776694724
2016,8,2016-08,0.033,0.643,355898,0.20168572383768693,-0.5662793168834511
2016,9,2016-09,0.032,0.634,351598,-0.24897790888339613,-1.0928067914520783
2016,10,2016-10,0.027,0.639,354975,0.27503274741979483,-1.1062198713254616
2016,11,2016-11,0.026,0.642,356974,0.5008733232128824,-1.0043628224467898
2016,12,2016-12,0.025,0.639,356728,0.4158437391519862,-1.217329376031423
2017,1,2017-01,0.034,0.639,355449,-0.017716213933310396,-0.7219500339521707
2017,2,2017-02,0.034,0.645,358403,0.31461751538645455,-0.40762131328479234
2017,3,2017-03,0.032,0.652,362917,0.8224040832753696,-0.15153561474274016
2017,4,2017-04,0.034,0.654,364559,0.8653390646954008,0.06266771821278526
2017,5,2017-05,0.039,0.654,361996,0.5683933408557389,0.3391714695013993
2017,6,2017-06,0.043,0.662,364609,0.7958882658194372,0.9789735677640629
2017,7,2017-07,0.042,0.663,365271,0.9002847386444738,0.9763003049855297
2017,8,2017-08,0.036,0.657,364706,0.9035004240603635,0.3306463293741887
2017,9,2017-09,0.034,0.648,360216,0.49095611395395694,-0.2506914808543916
2017,10,2017-10,0.031,0.645,359860,0.49033888986961005,-0.5734671656812179
2017,11,2017-11,0.03,0.645,360193,0.5442910006797788,-0.6286425551906353
2017,12,2017-12,0.027,0.647,362346,0.8220514738607935,-0.6895106781143553
2018,1,2018-01,0.033,0.626,361240,-0.3248329831536835,-1.4664480981610337
2018,2,2018-02,0.032,0.634,366154,0.19167613504313996,-1.1029668752623962
