Year,Month,periodLabel,unemp_rate,labor_force_part_rate,embX,embY
2013,1,2013-01,0.066,0.631,-0.5631165828541869,0.18563107980102328
2013,2,2013-02,0.06,0.629,-0.5138455907676616,0.0691305676184175
2013,3,2013-03,0.058,0.631,-0.4573911874773151,0.06553886201650506
2013,4,2013-04,0.058,0.632,-0.4423796602542507,0.0787545364386137
2013,5,2013-05,0.063,0.633,-0.4934465051417293,0.16702784697604747
2013,6,2013-06,0.07,0.645,-0.4058178994197138,0.43069663060280844
2013,7,2013-07,0.068,0.645,-0.3793865505754959,0.40067357615667887
2013,8,2013-08,0.063,0.643,-0.3433312329110816,0.29918459119713614
2013,9,2013-09,0.063,0.635,-0.46342345069560026,0.19345919582026475
2013,10,2013-10,0.058,0.637,-0.3673220241389255,0.14483290854915923
2013,11,2013-11,0.055,0.641,-0.2676288919803393,0.15266102456840044
2013,12,2013-12,0.053,0.637,-0.3012436520283808,0.06977527243383504
2014,1,2014-01,0.058,0.627,-0.5174372963695745,0.012676164328069365
2014,2,2014-02,0.054,0.628,-0.4495630714580742,-0.03415427014208133
2014,3,2014-03,0.052,0.631,-0.3780971409446615,-0.024530301321883944
2014,4,2014-04,0.049,0.629,-0.36847317212446373,-0.09599623183529571
2014,5,2014-05,0.053,0.631,-0.3913128153667705,-0.009518774098819112
2014,6,2014-06,0.058,0.644,-0.2622413335774726,0.23734262950392085
2014,7,2014-07,0.059,0.647,-0.2304224263303866,0.2920011799933126
2014,8,2014-08,0.055,0.646,-0.19257125586501547,0.21873939667894476
2014,9,2014-09,0.054,0.637,-0.31445932645048974,0.0847867996568999
2014,10,2014-10,0.048,0.642,-0.16010764380251233,0.060796008429055214
2014,11,2014-11,0.047,0.644,-0.11686891493427436,0.07221583005020764
2014,12,2014-12,0.044,0.64,-0.1372680005602069,-0.025681449307422558
2015,1,2015-01,0.05,0.632,-0.33665426487737915,-0.041337681345904966
2015,2,2015-02,0.046,0.633,-0.2687800399658776,-0.08816811581605451
2015,3,2015-03,0.043,0.633,-0.22913301669955077,-0.133202697485249
